Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total establishments in block
2017,1,Melbourne (CBD),0,3,0,1,1,0,0,2,2,7,0,0,0,4,0,1,1,2,1,0,25
2017,2,Melbourne (CBD),0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
2017,4,Melbourne (CBD),0,0,0,5,0,0,1,0,0,14,1,0,0,4,1,0,0,8,3,0,37
2017,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,7,0,0,10
2017,6,Melbourne (CBD),0,3,0,6,0,0,0,0,0,17,0,1,0,2,2,2,1,8,6,0,48
2017,11,Melbourne (CBD),6,9,0,1,19,2,1,1,4,16,2,1,1,8,0,3,1,2,1,0,78
2017,12,Melbourne (CBD),3,4,0,3,9,1,9,2,5,20,1,1,1,7,1,1,0,4,2,2,76
2017,13,Melbourne (CBD),0,8,3,2,22,2,3,2,11,7,1,10,0,5,0,4,0,7,1,1,89
2017,14,Melbourne (CBD),3,24,2,2,65,9,12,0,19,29,9,4,1,44,1,8,0,20,1,3,256
2017,15,Melbourne (CBD),5,17,1,43,49,2,16,0,13,45,7,4,24,69,1,1,0,60,0,6,363
2017,16,Melbourne (CBD),2,2,0,7,20,0,4,1,6,13,3,1,0,4,0,3,0,10,0,1,77
2017,17,Melbourne (CBD),1,1,0,2,47,1,4,0,7,35,0,2,2,7,2,4,0,8,1,2,126
2017,18,Melbourne (CBD),3,2,0,1,11,3,1,0,7,13,2,0,1,4,4,3,0,4,1,0,60
2017,21,Melbourne (CBD),2,3,0,1,4,1,0,2,2,12,2,2,1,3,4,2,0,1,2,0,44
2017,22,Melbourne (CBD),1,13,1,4,74,8,4,2,32,14,4,0,2,9,4,4,0,3,4,1,184
2017,23,Melbourne (CBD),1,9,2,3,37,1,1,0,4,11,5,3,1,9,1,3,0,5,0,1,97
2017,24,Melbourne (CBD),0,14,4,2,50,5,6,2,50,29,6,6,3,11,1,11,0,14,5,2,221
2017,25,Melbourne (CBD),3,15,0,1,24,0,24,0,15,30,14,1,18,31,1,5,0,53,1,30,266
2017,26,Melbourne (CBD),1,1,2,1,17,1,0,2,9,12,9,0,0,5,0,2,0,19,0,1,82
2017,27,Melbourne (CBD),1,8,1,1,42,7,1,2,41,13,7,1,2,8,2,7,0,27,0,2,173
2017,28,Melbourne (CBD),1,7,1,1,29,3,1,0,30,25,27,3,0,11,5,6,0,28,1,2,181
2017,31,Melbourne (CBD),1,3,0,2,16,1,9,1,7,26,5,2,1,11,1,0,0,11,2,1,100
2017,32,Melbourne (CBD),2,21,7,0,90,2,3,4,32,27,8,5,2,18,8,4,0,7,5,1,246
2017,33,Melbourne (CBD),3,21,2,2,104,6,14,1,30,34,11,2,4,21,1,4,0,7,3,2,272
2017,34,Melbourne (CBD),2,43,4,2,153,2,14,3,73,24,15,4,17,77,2,11,0,31,4,9,490
2017,35,Melbourne (CBD),2,14,0,7,40,2,16,1,7,25,38,1,87,53,0,9,0,129,2,23,456
2017,36,Melbourne (CBD),3,4,0,2,9,0,0,1,3,9,5,1,3,11,2,1,0,20,0,0,74
2017,37,Melbourne (CBD),3,7,1,1,34,4,0,2,54,11,4,5,1,10,12,14,0,9,2,2,176
2017,38,Melbourne (CBD),2,7,0,1,46,3,3,1,35,28,75,2,13,14,5,5,0,10,2,2,254
2017,41,Melbourne (CBD),2,3,1,0,12,2,1,0,1,4,5,0,0,4,2,1,0,2,2,0,42
2017,42,Melbourne (CBD),0,15,2,0,103,2,12,3,24,28,13,6,5,29,9,8,0,10,2,7,278
2017,43,Melbourne (CBD),2,14,2,1,68,3,7,0,30,14,2,3,3,12,3,5,0,8,0,0,177
2017,44,Melbourne (CBD),0,14,1,1,48,2,5,3,15,19,15,1,5,20,4,6,1,21,1,3,185
2017,45,Melbourne (CBD),1,2,0,1,4,0,3,0,5,21,0,1,4,15,0,2,0,89,0,0,148
2017,46,Melbourne (CBD),1,6,0,3,10,0,2,1,2,28,7,5,0,24,4,1,0,36,0,0,130
2017,47,Melbourne (CBD),3,1,0,0,1,1,2,0,6,30,2,2,1,10,11,1,0,16,2,0,89
2017,48,Melbourne (CBD),2,2,0,3,23,0,2,1,9,28,3,2,4,10,2,3,1,10,1,1,107
2017,51,Melbourne (CBD),2,0,0,3,12,0,5,1,1,13,2,1,1,4,1,7,0,5,2,0,60
2017,52,Melbourne (CBD),0,4,0,1,27,1,0,0,13,31,3,2,0,7,10,5,0,9,1,3,117
2017,53,Melbourne (CBD),3,8,0,0,128,5,8,2,25,25,8,1,4,24,5,6,0,7,1,1,261
2017,54,Melbourne (CBD),0,8,0,4,49,1,12,0,11,33,7,1,4,23,0,5,0,39,1,4,202
2017,55,Melbourne (CBD),2,2,0,1,3,0,0,0,1,12,1,0,0,2,0,1,1,17,0,0,43
2017,56,Melbourne (CBD),0,8,0,2,5,0,6,0,5,53,4,5,5,22,0,0,0,45,0,0,160
2017,57,Melbourne (CBD),1,4,0,3,30,1,8,3,5,45,12,4,1,34,0,8,0,13,0,2,174
2017,58,Melbourne (CBD),3,0,0,1,8,0,0,3,3,34,0,0,3,6,1,0,0,16,1,1,80
2017,61,Melbourne (CBD),2,0,0,0,0,0,1,2,0,11,1,0,0,1,1,3,0,5,0,0,27
2017,62,Melbourne (CBD),2,0,0,1,9,0,3,1,1,17,2,0,0,4,1,1,0,1,0,0,43
